Soru_No,Baslik,Aciklama_No,Aciklama_Metin,Ornek_Metin,Yorum,Soru,Sik_A,Sik_B,Sik_C,Sik_D,Dogru_Cevap
275,Madde 36 Teknik faul,36-17,Açıklama: Bir oyuncuya 2 teknik faul verildiğinde diskalifiye edilecektir.,"A1’e birinci devre çembere asıldığı için ilk teknik faulü verilir. İkinci devrede A1, sportmenlik dışı davranışından dolayı ikinci bir teknik faulle cezalandırılır.",A1 otomatik olarak diskalifiye edilecektir. A1’ in sadece ikinci teknik faulünün cezası uygulanacak olup diskalifiye için ek bir ceza verilmeyecektir. Sayı görevlisi A1'e 2 teknik faul verildiğinde diskalifiye edilmesi gerektiğini hemen bir hakeme bildirmelidir.,"A1’e birinci devre çembere asıldığı için ilk teknik faulü verilir. İkinci devrede A1, sportmenlik dışı davranışından dolayı ikinci bir teknik faulle cezalandırılır. Bu durumda ne olur?",A1 otomatik olarak diskalifiye edilir ve sadece ikinci teknik faulünün cezası uygulanır.,"A1 oyun alanında kalabilir, çünkü iki teknik faul farklı devrelerde verilmiştir.","A1 diskalifiye edilmez, ancak iki kez serbest atış kullanılır.",A1 diskalifiye edilir ve ek bir ceza olarak takımına 5 sayı cezası verilir.,A
276,Madde 36 Teknik faul,36-19,"Açıklama: Bir oyuncu kişisel, teknik ya da sportmenlik dışı olarak beşinci faulünü aldığında oyun dışı kalmış bir oyuncu olur. Beşinci faulünden sonra kendisine verilecek diğer teknik fauller o oyuncunun başantrenörüne yazılacak ve ‘B1 ’ olarak kaydedilecektir. Oyun dışı kalmış oyuncu diskalifiye edilmiş bir oyuncu değildir ve takım sıra bölgesinde kalabilir.",Birinci çeyrek sırasında B1’e (a) Bir teknik faul. (b) Sportmenlik dışı faul verilir. Dördüncü çeyrekte B1 beşinci faulünü yapar. Bu B takımının o çeyrekteki ikinci takım faulüdür. Takım sıra bölgesine giderken B1’e bir teknik faul verilir.,Her iki durumda da B1 diskalifiye edilmeyecektir. Beşinci faulüyle B1 oyun dışı kalmış oyuncu olmuştur. B1’e verilecek diğer teknik fauller başantrenörüne yazılacak ve ‘B1 ’ olarak kaydedilecektir. Herhangi bir A takımı oyuncusu kimse dizilmeden 1 serbest atış kullanacaktır. Oyun A takımı tarafından B1’e çalınan son teknik faulün olduğu en yakın yerden topun oyuna sokulmasıyla devam edecektir.,Birinci çeyrek sırasında B1’e bir teknik faul ve bir sportmenlik dışı faul verilir. Dördüncü çeyrekte B1 beşinci faulünü yapar. Bu B takımının o çeyrekteki ikinci takım faulüdür. Takım sıra bölgesine giderken B1’e bir teknik faul verilir. Bu durumda ne olur?,B1 diskalifiye edilir ve takım sıra bölgesinden ayrılmak zorundadır.,"B1 oyun dışı kalmış bir oyuncu olur, ancak diskalifiye edilmez ve takım sıra bölgesinde kalabilir.","B1’e verilen teknik faul başantrenörüne yazılmaz, doğrudan B1’e kaydedilir.","B1’in beşinci faulü, takımın bir sonraki çeyrekteki ilk faulü olarak sayılır.",B
277,Madde 36 Teknik faul,36-19,"Açıklama: Bir oyuncu kişisel, teknik ya da sportmenlik dışı olarak beşinci faulünü aldığında oyun dışı kalmış bir oyuncu olur. Beşinci faulünden sonra kendisine verilecek diğer teknik fauller o oyuncunun başantrenörüne yazılacak ve ‘B1 ’ olarak kaydedilecektir. Oyun dışı kalmış oyuncu diskalifiye edilmiş bir oyuncu değildir ve takım sıra bölgesinde kalabilir.",B1 dripling yapan A1’e faul yapar. Bu B1’in beşinci ve B takımın o çeyrekteki ikinci takım faulüdür. B1’e takım sıra bölgesine giderken diskalifiye edici faul verilir.,B1 diskalifiye edilmiştir ve soyunma odasına gidecek ya da eğer isterse salonu terk edecektir. B1’ e verilen diskalifiye edici faul maç kağıdında beşinci faulünden sonraki boşluğa ‘D’ olarak yazılacak ve başantrenörüne de ‘B2’ olarak kaydedilecektir. Herhangi bir A takımı oyuncusu kimse dizilmeden 2 serbest atış kullanacaktır. Oyun A takımı tarafından ön sahasındaki topu oyuna sokma çizgisinden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 14 saniyesi olacaktır.,B1 dripling yapan A1’e faul yapar. Bu B1’in beşinci ve B takımın o çeyrekteki ikinci takım faulüdür. B1’e takım sıra bölgesine giderken diskalifiye edici faul verilir. Bu durumda ne olur?,B1 soyunma odasına gidecek ya da salonu terk edecek ve beşinci faulünden sonraki boşluğa ‘D’ olarak kaydedilecektir.,B1 oyun dışı kalmış bir oyuncu olarak takım sıra bölgesinde kalabilir ve diskalifiye edilmez.,B1 diskalifiye edici faul aldığı için tekrar oyuna girebilir ve faul sayısı sıfırlanır.,"B1 diskalifiye edilmez, ancak başantrenörüne teknik faul yazılır.",A
278,Madde 36 Teknik faul,36-19,"Açıklama: Bir oyuncu kişisel, teknik ya da sportmenlik dışı olarak beşinci faulünü aldığında oyun dışı kalmış bir oyuncu olur. Beşinci faulünden sonra kendisine verilecek diğer teknik fauller o oyuncunun başantrenörüne yazılacak ve ‘B1 ’ olarak kaydedilecektir. Oyun dışı kalmış oyuncu diskalifiye edilmiş bir oyuncu değildir ve takım sıra bölgesinde kalabilir.","B1 dripling yapan A1’e faul yapar. Bu, B1’in beşinci ve B takımın o çeyrekteki beşinci takım faulüdür. B1’e takım sıra bölgesine giderken diskalifiye edici faul verilir.",B1 diskalifiye edilmiştir ve soyunma odasına gidecek ya da eğer isterse salonu terk edecektir. B1’ e verilen diskalifiye edici faul maç kağıdında beşinci faulünden sonraki boşluğa ‘D’ olarak yazılacak ve başantrenörüne de ‘B2’ olarak kaydedilecektir. A1 kimse dizilmeden 2 serbest atış kullanacaktır. Daha sonra herhangi bir A takımı oyuncusu kimse dizilmeden 2 serbest atış kullanacaktır. Oyun A takımının ön sahasındaki topu oyuna sokma çizgisinden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 14 saniyesi olacaktır.,"B1 dripling yapan A1’e faul yapar. Bu, B1’in beşinci ve B takımın o çeyrekteki beşinci takım faulüdür. B1’e takım sıra bölgesine giderken diskalifiye edici faul verilir. Bu durumda ne olur?",B1 diskalifiye edilmiştir ve soyunma odasına gidecek ya da eğer isterse salonu terk edecektir.,B1 diskalifiye edilmez ve oyun alanında kalabilir.,B1 diskalifiye edilmiştir ama takım sıra bölgesinde kalabilir.,B1 diskalifiye edilmiştir ve başka bir oyuncu onun yerine diskalifiye olur.,A
279,Madde 36 Teknik faul,36-23,Açıklama: Bir oyuncuya 1 teknik faul ve 1 sportmenlik dışı faul verildiğinde diskalifiye edilecektir.,"A1’e birinci devre sırasında oyunu geciktirdiği için bir teknik faul verilir. İkinci devre A1’e, B1’e yaptığı temasın gerekli kriterleri karşılaması sebebiyle bir sportmenlik dışı faul çalınır.",Bir oyuncuya 1 teknik faul ve 1 sportmenlik dışı faul verildiğinde sayı hakeminin bir hakemi derhal bilgilendirmesi gerektiğinden bu durumda A1 otomatik olarak diskalifiye edilecektir. A1’in sadece sportmenlik dışı faulünün cezası uygulanacak diskalifiye için ek bir ceza verilmeyecektir. B1 kimse dizilmeden 2 serbest atış kullanacaktır. Oyun B takımı tarafından ön sahasındaki topu oyuna sokma çizgisinden topu oyuna sokmasıyla devam edecektir. B takımının şut saatinde 14 saniyesi olacaktır.,"A1'e birinci devre sırasında oyunu geciktirdiği için bir teknik faul verilir. İkinci devre A1'e, B1'e yaptığı temasın gerekli kriterleri karşılaması sebebiyle bir sportmenlik dışı faul çalınır. Bu durumda ne olur?","A1, aldığı faullerden dolayı oyuna devam eder ve B1 serbest atış kullanmaz.","A1, aldığı bir teknik faul ve bir sportmenlik dışı faul nedeniyle otomatik olarak diskalifiye edilir ve B1 iki serbest atış kullanır.","A1, sadece sportmenlik dışı faul nedeniyle oyundan atılır ve ek bir ceza uygulanır.","A1, her iki faul için toplam dört serbest atışla cezalandırılır ve oyuna devam eder.",B
280,Madde 36 Teknik faul,36-23,Açıklama: Bir oyuncuya 1 teknik faul ve 1 sportmenlik dışı faul verildiğinde diskalifiye edilecektir.,"A1’e birinci devre sırasında hızlı geçiş hücumundaki takımının ilerleyişini durdurmak için yaptığı gereksiz bir temas nedeniyle bir sportmenlik dışı faul verilir. İkinci devre topun uzağındaki bir bölgede faul yapılmış aldatması yaptığı için A1’e bir teknik faul çalındığından A2, kendi geri sahasında dripling yapmaktadır.",Bir oyuncuya 1 teknik faul ve 1 sportmenlik dışı faul verildiğinde sayı hakeminin bir hakemi derhal bilgilendirmesi gerektiğinden bu durumda A1 otomatik olarak diskalifiye edilecektir. A1’in sadece teknik faulünün cezası uygulanacak diskalifiye için ek bir ceza verilmeyecektir. Herhangi bir B takımı oyuncusu kimse dizilmeden 1 serbest atış kullanacaktır. Oyun A takımı tarafından teknik faul çalındığında topun olduğu en yakın yerden top oyuna sokmasıyla devam edecektir. A takımının şut saatinde kalan süresi kadar zamanı olacaktır.,A1’e birinci devre sırasında yaptığı sportmenlik dışı faul ve ikinci devre sırasında yaptığı teknik faul sonucunda ne olur?,A1 otomatik olarak diskalifiye edilir ve sadece teknik faulün cezası uygulanır.,A1 oyunda kalır fakat bir sonraki faulünde diskalifiye edilir.,A1 diskalifiye edilir ve sportmenlik dışı faul cezası uygulanır.,A1’e ek bir ceza verilmez ve oyuna devam eder.,A
281,Madde 36 Teknik faul,36-26,"Açıklama: Bir oyuncu-başantrenörüne aşağıdaki faullerin verilmesi durumunda otomatik olarak diskalifiye edilecektir. • Oyuncu olarak 2 teknik faul. • Oyuncu olarak 2 sportmenlik dışı faul. • Oyuncu olarak 1 sportmenlik dışı faul ve 1 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 1 teknik faul, başantrenör olarak ‘C1’ kaydedilen bir teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Bir başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 3 teknik faul. Bir oyuncu-başantrenörü otomatik olarak diskalifiye edildiğinde maç kağıdına otomatik diskalifiyeye yol açan faulün arkasındaki bölüme bir “GD” yazılacaktır. Yeni kaptan olarak belirlenen oyuncu, yeni oyuncu-başantrenör olacaktır.","Birinci çeyrekte oyuncu-başantrenör A1, bir oyuncu olarak faul aldatması nedeniyle 1 teknik faul almıştır. A1’e dördüncü çeyrekte, bir başantrenör olarak kişisel centilmenlik dışı davranışı nedeniyle ‘C1’ kaydedilen bir teknik faul verildiğinde A2, dripling yapmaktadır.","Oyuncu-başantrenörü A1, otomatik olarak diskalifiye edilecektir. Sadece kendi ikinci teknik faulünün cezası uygulanacak olup diskalifiye için ek ceza bir verilmeyecektir. Sayı görevlisi, bir oyuncu- başantrenörü olan A1’e, bir oyuncu olarak 1 teknik faul ve ardından bir başantrenör olarak 1 kişisel teknik faul verildiğinde, otomatik olarak diskalifiye edilmesi gerektiğini hemen bir hakeme bildirmelidir. Herhangi bir B takımı oyuncusu kimse dizilmeden 1 serbest atış kullanacaktır. Oyun A takımı tarafından, A1’e teknik faul çalındığında topun olduğu en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde, kalan süresi kadar zamanı olacaktır.","Birinci çeyrekte oyuncu-başantrenör A1, bir oyuncu olarak faul aldatması nedeniyle 1 teknik faul almıştır. A1’e dördüncü çeyrekte, bir başantrenör olarak kişisel centilmenlik dışı davranışı nedeniyle ‘C1’ kaydedilen bir teknik faul verildiğinde A2, dripling yapmaktadır. Bu durumda ne olur?","Oyuncu-başantrenörü A1, otomatik olarak diskalifiye edilecektir ve sadece kendi ikinci teknik faulünün cezası uygulanacaktır.","Oyuncu-başantrenörü A1, otomatik olarak diskalifiye edilmeyecek ve oyuna devam edebilecektir.","Oyuncu-başantrenörü A1, otomatik olarak diskalifiye edilecektir ve ek bir ceza uygulanacaktır.","Oyuncu-başantrenörü A1, sadece uyarı alacak ve oyuna devam edecektir.",A
282,Madde 36 Teknik faul,36-26,"Açıklama: Bir oyuncu-başantrenörüne aşağıdaki faullerin verilmesi durumunda otomatik olarak diskalifiye edilecektir. • Oyuncu olarak 2 teknik faul. • Oyuncu olarak 2 sportmenlik dışı faul. • Oyuncu olarak 1 sportmenlik dışı faul ve 1 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 1 teknik faul, başantrenör olarak ‘C1’ kaydedilen bir teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Bir başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 3 teknik faul. Bir oyuncu-başantrenörü otomatik olarak diskalifiye edildiğinde maç kağıdına otomatik diskalifiyeye yol açan faulün arkasındaki bölüme bir “GD” yazılacaktır. Yeni kaptan olarak belirlenen oyuncu, yeni oyuncu-başantrenör olacaktır.","İkinci çeyrekte oyuncu-başantrenör A1, bir oyuncu olarak B1’e sportmenlik dışı faul yapmıştır. Üçüncü çeyrekte A1’e oyuncu-başantrenör olarak kendi fizyoterapistinin centilmenlik dışı davranışı nedeniyle ‘B1’ kaydedilen bir teknik faul verilir. Dördüncü çeyrekte yedek oyuncu A6’ya bir teknik faul çalındığında A2 dripling yapmaktadır. Yedek oyuncu A6’nın teknik faulü, oyuncu-başantrenör A1’e ‘B1’ olarak kaydedilecektir.","Oyuncu-başantrenör A1 otomatik olarak diskalifiye edilecektir. Sadece kendi ikinci teknik faulünün cezası uygulanacak olup (yedek oyuncu A6’nın teknik faulü) diskalifiye için ek bir ceza verilmeyecektir. Sayı görevlisi, bir oyuncu-başantrenör olan A1’e bir oyuncu olarak 1 sportmenlik dışı faul ve bir başantrenör olarak takım sırası görevlisinden dolayı 2 teknik faul verildiğinde otomatik olarak diskalifiye edilmesi gerektiğini hemen bir hakeme bildirmelidir. Herhangi bir B takımı oyuncusu kimse dizilmeden 1 serbest atış kullanacaktır. Oyun A takımı tarafından A6’ya teknik faul çalındığında topun olduğu en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde kalan süresi kadar zamanı olacaktır.","İkinci çeyrekte oyuncu-başantrenör A1, bir oyuncu olarak B1’e sportmenlik dışı faul yapmıştır. Üçüncü çeyrekte A1’e oyuncu-başantrenör olarak kendi fizyoterapistinin centilmenlik dışı davranışı nedeniyle ‘B1’ kaydedilen bir teknik faul verilir. Dördüncü çeyrekte yedek oyuncu A6’ya bir teknik faul çalındığında A2 dripling yapmaktadır. Yedek oyuncu A6’nın teknik faulü, oyuncu-başantrenör A1’e ‘B1’ olarak kaydedilecektir. Bu durumda hangi eylem gerçekleşmelidir?",Oyuncu-başantrenör A1 otomatik olarak diskalifiye edilecektir ve sadece ikinci teknik faulünün cezası uygulanacaktır.,Oyuncu-başantrenör A1'e ek bir maç cezası verilecektir.,"Oyuncu-başantrenör A1 diskalifiye edilmeyecek, sadece uyarı alacaktır.",Oyuncu-başantrenör A1'e sadece sportmenlik dışı faul cezası verilecektir.,A
283,Madde 36 Teknik faul,36-26,"Açıklama: Bir oyuncu-başantrenörüne aşağıdaki faullerin verilmesi durumunda otomatik olarak diskalifiye edilecektir. • Oyuncu olarak 2 teknik faul. • Oyuncu olarak 2 sportmenlik dışı faul. • Oyuncu olarak 1 sportmenlik dışı faul ve 1 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 1 teknik faul, başantrenör olarak ‘C1’ kaydedilen bir teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Bir başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 3 teknik faul. Bir oyuncu-başantrenörü otomatik olarak diskalifiye edildiğinde maç kağıdına otomatik diskalifiyeye yol açan faulün arkasındaki bölüme bir “GD” yazılacaktır. Yeni kaptan olarak belirlenen oyuncu, yeni oyuncu-başantrenör olacaktır.","İkinci çeyrekte oyuncu-başantrenör A1, bir başantrenör olarak kişisel centilmenlik dışı davranışı nedeniyle ‘C1’ kaydedilen bir teknik faul almıştır. Oyuncu-başantrenör A1 dördüncü çeyrekte bir oyuncu olarak B1’e sportmenlik dışı bir faul yapar.","Oyuncu-başantrenörü A1 otomatik olarak diskalifiye edilecektir. Sadece kendi sportmenlik dışı faulünün cezası uygulanacak olup diskalifiye için ek bir ceza verilmeyecektir. Sayı görevlisi, bir oyuncu- başantrenörü olan A1’e, bir başantrenör olarak 1 kişisel teknik faul ve bir oyuncu olarak 1 sportmenlik dışı faul verildiğinde otomatik olarak diskalifiye edilmesi gerektiğini hemen bir hakeme bildirmelidir. B1 kimse dizilmeden 2 serbest atış kullanacaktır. Oyun B takımı tarafından ön sahasındaki topu oyuna sokma çizgisinden topu oyuna sokmasıyla devam edecektir. B takımının şut saatinde 14 saniyesi olacaktır.","İkinci çeyrekte oyuncu-başantrenör A1, bir başantrenör olarak kişisel centilmenlik dışı davranışı nedeniyle ‘C1’ kaydedilen bir teknik faul almıştır. Oyuncu-başantrenör A1 dördüncü çeyrekte bir oyuncu olarak B1’e sportmenlik dışı bir faul yapar. Bu durumda ne olur?",Oyuncu-başantrenörü A1 otomatik olarak diskalifiye edilecektir ve ek bir ceza alacaktır.,Oyuncu-başantrenörü A1 sadece sportmenlik dışı faulünün cezası uygulanarak diskalifiye edilecektir.,Oyuncu-başantrenörü A1'e sadece bir uyarı yapılacak ve oyundan atılmayacaktır.,Oyuncu-başantrenörü A1 oyuna devam edecek ve B1'e 2 serbest atış hakkı verilecektir.,B
284,Madde 36 Teknik faul,36-26,"Açıklama: Bir oyuncu-başantrenörüne aşağıdaki faullerin verilmesi durumunda otomatik olarak diskalifiye edilecektir. • Oyuncu olarak 2 teknik faul. • Oyuncu olarak 2 sportmenlik dışı faul. • Oyuncu olarak 1 sportmenlik dışı faul ve 1 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 1 teknik faul, başantrenör olarak ‘C1’ kaydedilen bir teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Bir başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 3 teknik faul. Bir oyuncu-başantrenörü otomatik olarak diskalifiye edildiğinde maç kağıdına otomatik diskalifiyeye yol açan faulün arkasındaki bölüme bir “GD” yazılacaktır. Yeni kaptan olarak belirlenen oyuncu, yeni oyuncu-başantrenör olacaktır.",Takım sıra bölgesindeki yedek oyuncu A6'ya bir teknik faul verildiğinde oyuncu-başantrenör A1 sahadaki oyuncudur.,"Takım sıra bölgesinde oturmasına izin verilen diğer kişilerin sportmenlik dışı davranışları sonucunda verilen bir teknik faul, maç kağıdına birinci yardımcı antrenöre yazılmış olsa bile oyuncu- başantrenörüne işlenir.","Takım sıra bölgesindeki yedek oyuncu A6'ya bir teknik faul verildiğinde, sahadaki oyuncu-başantrenör A1'e ne olur?",A1'e teknik faul işlenir.,A1'e sportmenlik dışı faul işlenir.,Faul birinci yardımcı antrenöre işlenir.,A6'ya işlenir ve A1 etkilenmez.,A
285,Madde 36 Teknik faul,36-26,"Açıklama: Bir oyuncu-başantrenörüne aşağıdaki faullerin verilmesi durumunda otomatik olarak diskalifiye edilecektir. • Oyuncu olarak 2 teknik faul. • Oyuncu olarak 2 sportmenlik dışı faul. • Oyuncu olarak 1 sportmenlik dışı faul ve 1 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 1 teknik faul, başantrenör olarak ‘C1’ kaydedilen bir teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Bir başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 3 teknik faul. Bir oyuncu-başantrenörü otomatik olarak diskalifiye edildiğinde maç kağıdına otomatik diskalifiyeye yol açan faulün arkasındaki bölüme bir “GD” yazılacaktır. Yeni kaptan olarak belirlenen oyuncu, yeni oyuncu-başantrenör olacaktır.","Bir oyun arası sırasında, (a) Yedek oyuncu A6’ya, (b) Sahadaki oyuncu-başantrenör A1’e, (c) A takımı doktoruna, bir teknik faul verilir.","Maç kağıdına birinci yardımcı antrenör yazılmış olsa bile teknik fauller aşağıdaki gibi işlenir. (a) Oyuncu olarak A6’ya, (b) Oyuncu olarak A1’e, (c) Oyuncu-başantrenör olarak A1’e","Bir oyun arası sırasında, (a) Yedek oyuncu A6’ya, (b) Sahadaki oyuncu-başantrenör A1’e, (c) A takımı doktoruna, bir teknik faul verilir. Bu fauller maç kağıdında nasıl kaydedilmelidir?","(a) Oyuncu olarak A6’ya, (b) Oyuncu olarak A1’e, (c) Oyuncu-başantrenör olarak A1’e","(a) Oyuncu olarak A6’ya, (b) Oyuncu-başantrenör olarak A1’e, (c) Doktor olarak A takımı doktoruna","(a) Yedek oyuncu olarak A6’ya, (b) Sahadaki oyuncu olarak A1’e, (c) Doktor olarak A takımı doktoruna","(a) Yedek oyuncu olarak A6’ya, (b) Oyuncu-başantrenör olarak A1’e, (c) Oyuncu olarak A takımı doktoruna",A
286,Madde 36 Teknik faul,36-26,"Açıklama: Bir oyuncu-başantrenörüne aşağıdaki faullerin verilmesi durumunda otomatik olarak diskalifiye edilecektir. • Oyuncu olarak 2 teknik faul. • Oyuncu olarak 2 sportmenlik dışı faul. • Oyuncu olarak 1 sportmenlik dışı faul ve 1 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 1 teknik faul, başantrenör olarak ‘C1’ kaydedilen bir teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Bir başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul ve oyuncu olarak 1 sportmenlik dışı ya da teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘C1’ kaydedilen 1 teknik faul ve başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 2 teknik faul. • Başantrenör olarak ‘B1’ ya da ‘B2’ kaydedilen 3 teknik faul. Bir oyuncu-başantrenörü otomatik olarak diskalifiye edildiğinde maç kağıdına otomatik diskalifiyeye yol açan faulün arkasındaki bölüme bir “GD” yazılacaktır. Yeni kaptan olarak belirlenen oyuncu, yeni oyuncu-başantrenör olacaktır.","Oyuncu-başantrenör A1, oyuncu olarak 4 kişisel faul ve başantrenör olarak 1 teknik faul almıştır.","Oyuncu-başantrenörü A1, oyuncu olarak 5 faul yapmadığı ve başantrenör olarak diskalifiye edilmediği sürece oyuncu olarak devam edebilir. Oyuncu-başantrenörü A1, oyuncu olarak 5 faul aldıktan sonra başantrenör olarak devam edebilir.","Oyuncu-başantrenör A1, oyuncu olarak 4 kişisel faul ve başantrenör olarak 1 teknik faul almıştır. Bu durumda, oyuncu-başantrenör A1 nasıl devam edebilir?","Oyuncu-başantrenörü A1, oyuncu olarak 5 faul yapmadığı ve başantrenör olarak diskalifiye edilmediği sürece oyuncu olarak devam edebilir.","Oyuncu-başantrenörü A1, oyuncu olarak 5 faul yapmamış olsa bile 4 kişisel faul ve 1 teknik faul nedeniyle diskalifiye edilir.","Oyuncu-başantrenörü A1, başantrenör olarak 1 teknik faul aldığından hemen diskalifiye edilir.","Oyuncu-başantrenörü A1, oyuncu olarak 5 faul aldıktan sonra hem oyuncu hem de başantrenör olarak devam edemez.",A
287,Madde 36 Teknik faul,36-33,"Açıklama: Dördüncü çeyrekte ve her uzatmada oyun saati 2:00 dakika ya da daha az gösterirken ve hakemin topu, oyuna sokacak olan oyuncunun kullanımına vermesi gerektiği durumlarda topu oyuna sokacak olan oyuncuyu savunun bir oyuncunun olduğu durumlarda aşağıdaki prosedür uygulanacaktır: • Hakemler, topu oyuna sokacak oyuncuya topu vermeden önce bir uyarı olarak “kural dışı sınır çizgisi geçişi” işaretini göstereceklerdir. • Eğer savunma oyuncusu topun oyuna sokulmasına engellemek için vücudunun herhangi bir bölümünü sınır çizgisi üzerinden hareket ettirirse, başka bir uyarı yapılmadan bir teknik faul verilecektir.","Dördüncü çeyrekte oyun saatinde 1:08 ve şut saatinde 11 saniye kala top kenar çizginin gerisinden topu oyuna sokacak olan A1’in ellerindedir. (a) Ön sahada. (b) Geri sahada. Hakem B1'e “kural dışı sınır çizgisi geçişi” işaretini gösterir. B1, A1'in topu oyuna sokmasını engellemek için el ya da ellerini sınır çizgisi üzerinden hareket ettirir.","Hakem topu A1’e vermeden önce B1’e uyarı işareti gösterdiğinden topun oyuna sokulmasına müdahalesi nedeniyle B1’e bir teknik faul verilecektir. Herhangi bir A takımı oyuncusu kimse dizilmeden 1 serbest atış kullanacaktır. Oyun A takımı tarafından B1’e teknik faul çalındığında topun olduğu en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde, (a) 14 saniyesi, eğer şut saati 13 saniye veya daha az gösteriyorsa, şut saati 14 saniye veya daha fazla süre gösteriyorsa kalan süre kadar zamanı olacaktır. (b) 24 saniyesi olacaktır.","Dördüncü çeyrekte oyun saatinde 1:08 ve şut saatinde 11 saniye kala top kenar çizginin gerisinden topu oyuna sokacak olan A1’in ellerindedir. Hakem B1'e “kural dışı sınır çizgisi geçişi” işaretini gösterir. B1, A1'in topu oyuna sokmasını engellemek için el ya da ellerini sınır çizgisi üzerinden hareket ettirir. Bu durumda ne olur?",B1'e teknik faul verilir ve A takımı 1 serbest atış kullanır.,B1'e uyarı yapıldıktan sonra ikinci bir uyarı yapılır ve oyun devam eder.,B1'e teknik faul verilir ve B takımı 1 serbest atış kullanır.,Hakem B1’i uyarır ve top A1'e verildikten sonra oyun devam eder.,A
